Player,Position,Age,Mins,GA,GA90,Shots on Target Faced (SoTA),Saves,Save %,Clean Sheets (CS),CS %,PSxG+-,OPA/90
Senne Lammens,GK,23,1620,25,1.39,62,38,61.3,3,16.7,0,0
Altay Bayindir,GK,27,540,11,1.83,24,13,54.2,0,0.0,0,0
